X,Y,Z,Z_SV
625.06,300.67,1002.1748453608246,1027.6
624.47,298.52,999.1515463917525,1024.5
623.55,297.7,995.5430927835051,1020.8
622.57,298.01,992.7148453608247,1017.9
622.39,297.64,989.9841237113402,1015.1
623.41,292.11,986.9608247422681,1012.0
624.84,287.1,984.4251546391752,1009.4
624.86,284.13,980.719175257732,1005.6
624.38,280.82,978.1835051546392,1003.0
623.51,279.42,974.8676288659793,999.6
623.03,276.78,971.7175463917525,996.37
622.63,275.09,968.9575670103093,993.54
622.97,272.3,966.1585773195876,990.67
624.53,267.84,963.4668659793814,987.91
625.6,261.15,960.7458969072164,985.12
625.07,258.57,957.8591340206185,982.16
624.1,257.98,955.011381443299,979.24
623.27,255.34,952.0563505154639,976.21
622.93,251.96,948.9940412371134,973.07
623.54,248.76,945.9609896907217,969.96
624.92,244.73,943.4643298969072,967.4
625.59,239.92,940.3337525773196,964.19
625.48,235.87,937.7395670103092,961.53
624.69,234.27,934.6187422680413,958.33
623.7,232.1,931.3516288659794,954.98
623.32,229.92,928.4843711340205,952.04
624.28,226.44,925.3440412371134,948.82
626.3,219.77,922.3695051546391,945.77
626.54,215.5,918.4392164948454,941.74
626.26,211.16,915.6889896907215,938.92
625.5,209.34,913.5239175257732,936.7
624.62,207.08,910.0715051546391,933.16
623.77,204.78,907.4090515463917,930.43
622.97,203.79,904.9904123711341,927.95
622.64,201.74,902.698556701031,925.6
622.92,200.0,901.2259175257732,924.09
623.12,197.17,900.211649484536,923.05
623.79,194.4,899.1973814432989,922.01
624.23,192.06,898.1733608247423,920.96
624.55,190.03,897.1298350515464,919.89
624.41,188.9,895.7839793814433,918.51
624.25,187.73,894.3113402061855,917.0
623.67,187.6,894.3113402061855,917.0
623.28,187.08,894.3113402061855,917.0
623.54,186.83,894.3113402061855,917.0
624.48,184.93,893.3360824742268,916.0
625.61,181.63,892.360824742268,915.0
626.18,175.9,890.4103092783505,913.0
626.42,171.16,889.4350515463917,912.0
625.94,170.34,888.4597938144329,911.0
625.28,170.68,887.4845360824742,910.0
624.74,169.71,885.5340206185567,908.0
624.33,168.45,884.558762886598,907.0
624.01,167.82,883.5835051546392,906.0
624.29,165.1,883.5835051546392,906.0
624.57,161.0,883.5835051546392,906.0
623.79,158.33,882.6082474226804,905.0
622.74,157.98,879.9652989690721,902.29
621.4,158.86,876.7567010309278,899.0
619.62,160.09,870.9051546391753,893.0
618.21,161.37,865.0536082474226,887.0
616.56,160.82,862.1278350515464,884.0
616.11,159.05,859.2020618556701,881.0
617.05,156.4,855.3010309278351,877.0
618.73,154.12,852.3752577319588,874.0
618.79,154.12,849.4494845360824,871.0
618.66,153.71,846.5237113402062,868.0
617.99,153.26,844.1733402061856,865.59
616.16,152.47,841.8327216494846,863.19
613.93,152.9,837.4538144329897,858.7
611.34,150.88,833.0749072164948,854.21
610.13,150.14,828.7057525773196,849.73
610.71,150.19,828.0913402061856,849.1
611.12,150.23,825.4874020618556,846.43
612.76,150.51,824.0635257731959,844.97
614.78,151.85,822.0447422680412,842.9
616.56,154.93,823.1175257731959,844.0
617.51,158.2,820.6598762886598,841.48
617.15,160.67,818.3095051546392,839.07
618.08,164.08,815.9103711340206,836.61
619.08,167.37,813.4819793814432,834.12
620.78,171.51,811.0243298969073,831.6
