X,Y,Z,Z_SV
428.54,113.97,942.6353608247422,966.55
428.21,113.85,941.5528247422681,965.44
427.14,113.44,940.3922680412371,964.25
426.71,113.27,939.2804742268041,963.11
426.07,112.99,938.1686804123711,961.97
424.87,112.6,936.7935670103092,960.56
424.79,112.58,935.9158350515463,959.66
425.2,112.44,936.2474226804123,960.0
425.82,112.6,935.594,959.33
423.89,112.41,933.2143711340206,956.89
423.28,113.09,930.200824742268,953.8
421.65,114.08,926.8166804123712,950.33
419.25,115.48,923.4715463917526,946.9
417.68,116.33,921.7258350515464,945.11
416.26,117.2,919.9216082474227,943.26
414.22,118.29,918.5855051546391,941.89
412.86,119.21,917.6882680412372,940.97
411.64,120.14,917.0348453608246,940.3
410.38,121.07,915.113587628866,938.33
409.29,121.82,913.621443298969,936.8
408.47,122.53,911.9537525773196,935.09
407.21,123.37,910.0227422680413,933.11
406.44,124.1,908.6963917525773,931.75
405.58,124.78,907.2139999999999,930.23
404.54,125.61,906.2289896907216,929.22
403.73,126.33,905.2439793814433,928.21
402.75,127.04,903.8201030927835,926.75
402.02,127.7,902.9033608247422,925.81
401.08,128.42,901.8013195876288,924.68
400.49,128.98,901.1478969072165,924.01
399.75,129.59,899.0608453608247,921.87
400.34,129.15,897.4419175257732,920.21
399.81,130.02,896.5349278350515,919.28
398.57,132.89,895.9887835051546,918.72
399.07,134.88,895.3743711340206,918.09
399.1,139.8,894.5258969072165,917.22
399.82,142.51,895.0720412371134,917.78
400.69,145.32,893.3165773195876,915.98
401.47,147.55,891.6878969072164,914.31
402.58,151.25,890.3127835051546,912.9
403.52,154.04,889.288762886598,911.85
404.49,156.47,888.0014226804124,910.53
405.52,158.73,886.7628453608247,909.26
406.33,160.68,884.9391134020618,907.39
407.35,163.13,883.3689484536083,905.78
408.04,164.92,881.6817525773196,904.05
408.96,166.95,880.462680412371,902.8
409.71,168.69,879.0192989690722,901.32
410.47,170.44,877.7514639175257,900.02
411.17,171.99,876.1617938144329,898.39
411.36,172.88,874.952474226804,897.15
412.2,174.43,873.6358762886597,895.8
414.07,176.18,872.3485360824742,894.48
417.0,177.51,869.9591546391753,892.03
421.58,179.54,868.9156288659794,890.96
424.5,180.44,865.0731134020618,887.02
428.04,182.06,862.537443298969,884.42
430.52,183.37,859.7287010309278,881.54
432.8,184.44,858.4511134020619,880.23
436.2,185.69,857.1345154639175,878.88
439.83,186.25,855.6716288659793,877.38
443.84,186.53,853.0774432989691,874.72
447.95,186.68,849.4689896907216,871.02
451.78,187.04,843.549175257732,864.95
455.66,187.45,840.496618556701,861.82
458.95,187.93,838.2632783505154,859.53
461.96,188.39,836.3127628865979,857.53
465.47,189.11,835.1619587628866,856.35
468.75,189.8,834.4012577319588,855.57
471.53,190.25,832.5482680412371,853.67
474.93,191.0,830.1101237113402,851.17
477.19,191.46,828.1693608247422,849.18
479.47,191.98,826.7747422680412,847.75
481.21,192.29,823.2540618556701,844.14
482.89,192.57,817.8608865979381,838.61
485.47,193.17,819.9381855670104,840.74
486.9,193.4,819.9186804123711,840.72
488.66,193.83,818.0656907216495,838.82
489.83,194.09,816.3199793814432,837.03
491.2,194.32,814.9253608247423,835.6
492.99,194.77,813.5600000000001,834.2
494.79,195.05,812.2043917525773,832.81
495.67,195.15,811.053587628866,831.63
497.22,195.45,810.107587628866,830.66
497.68,195.56,809.0543092783505,829.58
499.9,195.85,808.0400412371133,828.54
500.4,195.83,807.9132577319588,828.41
501.68,196.12,806.8697319587629,827.34
502.12,196.11,805.826206185567,826.27
502.83,196.2,804.7826804123712,825.2
503.88,196.46,803.7489072164948,824.14
505.2,196.97,802.705381443299,823.07
507.12,196.88,801.661855670103,822.0
510.16,196.07,799.818618556701,820.11
512.67,195.04,798.6678144329896,818.93
515.55,193.69,797.5072577319587,817.74
518.49,192.34,796.3564536082473,816.56
521.27,191.14,795.1958969072165,815.37
523.9,190.1,794.0450927835052,814.19
526.31,189.27,792.8845360824743,813.0
528.58,188.38,792.2311134020619,812.33
530.92,187.58,791.1095670103092,811.18
533.37,186.8,789.9880206185567,810.03
535.71,186.07,788.8664742268041,808.88
537.58,185.63,787.7449278350515,807.73
539.69,184.97,786.623381443299,806.58
541.54,184.41,785.5018350515463,805.43
543.54,183.81,784.3900412371133,804.29
545.16,183.42,784.0291958762886,803.92
547.12,183.0,783.5025567010309,803.38
548.81,182.65,783.0831958762886,802.95
550.26,182.35,782.6150721649485,802.47
551.88,181.97,782.410268041237,802.26
553.47,181.56,782.0006597938144,801.84
554.95,181.21,781.6690721649485,801.5
556.2,180.94,781.6495670103093,801.48
557.67,180.63,781.6008041237113,801.43
559.27,180.31,781.6983298969071,801.53
560.74,180.03,781.7665979381443,801.6
562.44,179.56,782.0006597938144,801.84
563.36,179.1,783.0929484536083,802.96
564.53,178.91,782.8588865979382,802.72
566.65,179.26,782.9466597938143,802.81
568.18,180.38,783.4830515463917,803.36
570.04,181.58,784.0974639175257,803.99
572.06,183.03,784.5948453608247,804.5
574.28,184.61,785.2872783505155,805.21
576.44,186.23,785.960206185567,805.9
577.96,187.46,786.7014020618557,806.66
580.26,189.05,787.5596288659793,807.54
582.13,190.44,788.3300824742269,808.33
583.2,191.16,789.363855670103,809.39
584.27,191.77,790.3293608247423,810.38
586.41,193.97,791.4411546391752,811.52
586.79,196.85,792.0653195876288,812.16
585.99,198.8,792.8552783505155,812.97
585.79,202.74,793.5867216494845,813.72
585.68,206.63,794.9033195876289,815.07
585.75,210.57,796.8733402061856,817.09
585.95,214.51,798.989649484536,819.26
586.32,218.0,801.4180412371134,821.75
586.51,221.31,803.4953402061856,823.88
586.58,224.34,805.6214020618556,826.06
586.36,227.34,807.5134020618557,828.0
585.71,231.23,809.5224329896906,830.06
584.98,234.98,811.5899793814432,832.18
585.04,239.74,813.9696082474227,834.62
585.94,243.7,816.7978556701031,837.52
586.84,248.64,819.9284329896907,840.73
586.92,254.94,822.9614845360825,843.84
586.25,260.17,826.2578556701031,847.22
586.02,265.85,829.5347216494846,850.58
586.79,272.48,833.0651546391753,854.2
587.5,277.64,836.712618556701,857.94
587.53,284.19,840.6038969072164,861.93
586.94,290.84,844.2123505154639,865.63
588.33,298.98,847.7720412371134,869.28
589.71,307.12,851.5072783505154,873.11
589.72,315.2,855.2717731958763,876.97
589.8,320.85,858.9387422680412,880.73
589.07,322.99,862.6934845360825,884.58
588.76,327.96,865.9410927835052,887.91
588.45,332.94,869.1789484536082,891.23
588.14,337.92,872.3582886597939,894.49
587.83,342.89,875.4791134020619,897.69
587.52,347.87,878.3171134020619,900.6
587.68,353.05,881.1551134020618,903.51
587.98,359.86,883.8273195876288,906.25
588.22,363.38,886.6750721649483,909.17
588.58,369.73,889.3862886597939,911.95
588.01,372.73,891.960969072165,914.59
587.24,377.43,894.6429278350515,917.34
586.44,382.82,897.2371134020618,920.0
585.31,390.59,899.860556701031,922.69
584.63,395.49,902.4449896907216,925.34
584.19,399.55,905.3024948453608,928.27
583.89,404.16,907.5748453608247,930.6
583.54,408.82,910.100762886598,933.19
582.97,412.01,912.4706391752577,935.62
582.75,416.46,914.9282886597938,938.14
582.26,420.33,917.3664329896907,940.64
582.03,423.96,919.7655670103093,943.1
581.48,426.97,921.9598969072165,945.35
581.13,429.88,923.9884329896906,947.43
581.65,433.74,926.2802886597938,949.78
582.17,437.59,929.2255670103092,952.8
582.69,441.45,932.6292164948453,956.29
583.21,445.31,936.0718762886598,959.82
583.73,449.17,939.4267628865979,963.26
584.26,453.03,942.5573402061856,966.47
584.78,456.88,945.6001443298969,969.59
585.19,461.02,948.5649278350515,972.63
585.94,466.13,951.2858969072164,975.42
586.73,470.11,954.1238969072165,978.33
587.34,473.64,956.7863505154638,981.06
588.35,477.34,959.6633608247422,984.01
588.94,480.51,962.3745773195876,986.79
589.41,483.02,965.2808453608247,989.77
589.96,485.6,968.3919175257732,992.96
589.93,489.17,971.424969072165,996.07
589.59,492.13,974.6530721649484,999.38
589.48,495.5,977.9884536082474,1002.8
589.76,499.57,981.3043298969072,1006.2
590.34,503.26,984.620206185567,1009.6
591.14,507.0,988.0336082474226,1013.1
591.86,509.71,991.4470103092783,1016.6
592.47,512.43,995.2505154639175,1020.5
593.05,515.16,998.761443298969,1024.1
593.23,518.42,1002.1748453608246,1027.6
593.1,520.68,1005.7832989690721,1031.3
593.1,522.82,1009.099175257732,1034.7
593.21,525.25,1012.122474226804,1037.8
593.53,528.37,1015.340824742268,1041.1
593.72,531.3,1018.8517525773196,1044.7
594.43,534.45,1021.7775257731959,1047.7
594.98,536.42,1024.8008247422679,1050.8
595.53,538.92,1028.1167010309277,1054.2
596.1,541.48,1030.6523711340205,1056.8
596.67,543.66,1033.9682474226804,1060.2
597.42,545.68,1037.3816494845362,1063.7
598.23,547.6,1040.2098969072165,1066.6
598.9,549.76,1042.8430927835052,1069.3
599.22,551.6,1045.7688659793814,1072.3
599.93,553.73,1048.7921649484538,1075.4
600.65,555.4,1050.742680412371,1077.4
601.2,557.12,1053.8635051546391,1080.6
601.62,559.17,1056.399175257732,1083.2
601.78,560.76,1058.8373195876288,1085.7
602.28,562.52,1061.1779381443298,1088.1
602.99,564.5,1063.518556701031,1090.5
603.74,566.49,1065.956701030928,1093.0
604.09,567.89,1068.0047422680411,1095.1
604.12,569.16,1069.9552577319587,1097.1
604.82,571.61,1072.0032989690721,1099.2
605.09,573.16,1074.0513402061854,1101.3
605.62,575.03,1075.9043298969073,1103.2
605.77,576.36,1077.7573195876287,1105.1
606.37,578.35,1079.8053608247424,1107.2
606.58,579.46,1081.75587628866,1109.2
606.84,580.56,1083.5113402061857,1111.0
607.59,582.67,1084.9742268041236,1112.5
607.61,583.1,1086.8272164948455,1114.4
608.38,585.51,1088.5826804123712,1116.2
608.51,587.04,1090.1430927835052,1117.8
608.58,588.22,1091.3134020618556,1119.0
607.81,589.11,1092.1911340206186,1119.9
605.72,591.91,1092.7762886597939,1120.5
603.88,592.52,1093.5564948453607,1121.3
601.84,593.14,1094.4342268041237,1122.2
599.75,593.97,1095.5070103092783,1123.3
597.81,594.54,1096.4822680412371,1124.3
596.34,594.71,1097.4575257731958,1125.3
593.78,594.74,1098.2377319587629,1126.1
591.21,594.77,1098.3352577319588,1126.2
588.65,594.8,1097.8476288659795,1125.7
586.08,594.83,1097.9451546391751,1125.8
583.51,594.86,1098.3352577319588,1126.2
580.95,594.89,1099.3105154639175,1127.2
578.38,594.92,1100.5783505154639,1128.5
575.82,594.95,1103.699175257732,1131.7
573.25,594.98,1105.2595876288658,1133.3
570.69,595.01,1103.7967010309278,1131.8
568.12,595.04,1104.7719587628865,1132.8
565.55,595.07,1106.1373195876288,1134.2
562.99,595.1,1105.7472164948454,1133.8
560.42,595.13,1105.4546391752576,1133.5
557.86,595.16,1105.2595876288658,1133.3
555.29,595.19,1105.6496907216494,1133.7
552.73,595.21,1107.2101030927834,1135.3
550.16,595.24,1107.9903092783504,1136.1
547.59,595.27,1109.258144329897,1137.4
545.03,595.3,1108.575463917526,1136.7
538.58,591.87,1108.380412371134,1136.5
535.58,587.74,1108.575463917526,1136.7
532.98,583.67,1107.7952577319588,1135.9
529.07,578.42,1108.0878350515463,1136.2
525.66,574.16,1108.380412371134,1136.5
522.55,570.23,1108.575463917526,1136.7
520.09,566.7,1108.7705154639175,1136.9
517.53,562.16,1108.575463917526,1136.7
515.62,557.76,1108.4779381443298,1136.6
514.05,553.73,1108.2828865979382,1136.4
512.48,549.7,1108.2828865979382,1136.4
510.9,545.66,1108.4779381443298,1136.6
509.33,541.63,1108.575463917526,1136.7
507.76,537.6,1108.7705154639175,1136.9
506.18,533.57,1108.8680412371134,1137.0
504.61,529.53,1109.3556701030927,1137.5
503.04,525.5,1109.7457731958764,1137.9
501.46,521.47,1110.5259793814432,1138.7
499.89,517.44,1111.403711340206,1139.6
500.21,515.6,1111.5987628865978,1139.8
501.42,511.32,1111.7938144329896,1140.0
502.62,506.46,1112.6715463917526,1140.9
503.87,501.23,1113.5492783505154,1141.8
504.93,496.14,1114.4270103092783,1142.7
505.93,490.55,1115.304742268041,1143.6
506.62,485.51,1115.9874226804122,1144.3
507.49,480.71,1116.7676288659793,1145.1
508.94,476.13,1117.4503092783505,1145.8
510.92,471.57,1118.3280412371134,1146.7
512.89,466.87,1119.2057731958762,1147.6
514.48,460.88,1120.0835051546392,1148.5
514.71,456.4,1120.6686597938144,1149.1
515.46,449.7,1121.1562886597937,1149.6
517.0,443.41,1121.4488659793815,1149.9
518.73,437.93,1121.643917525773,1150.1
520.82,432.49,1121.838969072165,1150.3
522.85,426.64,1122.0340206185567,1150.5
524.77,420.24,1122.2290721649485,1150.7
526.04,415.48,1122.3265979381442,1150.8
527.33,410.3,1122.4241237113404,1150.9
528.67,404.14,1122.4241237113404,1150.9
529.84,399.02,1122.7167010309279,1151.2
531.08,394.0,1122.7167010309279,1151.2
532.31,389.6,1122.7167010309279,1151.2
