X,Y,Z,Z_SV
397.01,209.92,1188.4490721649483,1218.6
398.42,212.36,1189.8144329896907,1220.0
401.11,216.54,1191.6674226804125,1221.9
403.71,220.26,1193.520412371134,1223.8
406.39,224.12,1191.4723711340207,1221.7
408.95,227.87,1189.8144329896907,1220.0
411.3,231.22,1190.1070103092782,1220.3
413.69,234.61,1188.741649484536,1218.9
416.03,238.18,1186.3035051546392,1216.4
417.82,240.77,1185.620824742268,1215.7
419.83,243.55,1184.4505154639176,1214.5
422.73,246.26,1183.5727835051546,1213.6
426.19,248.08,1182.5975257731957,1212.6
431.25,250.74,1182.1098969072164,1212.1
436.57,254.87,1181.4272164948454,1211.4
440.68,258.63,1180.256907216495,1210.2
445.72,262.51,1179.1841237113401,1209.1
450.55,264.67,1178.0138144329896,1207.9
455.84,267.05,1176.6484536082473,1206.5
461.17,269.88,1175.5756701030928,1205.4
466.46,273.15,1174.3078350515464,1204.1
472.4,276.92,1173.1375257731959,1202.9
477.4,279.75,1171.8696907216495,1201.6
482.47,282.1,1170.699381443299,1200.4
487.8,284.47,1169.7241237113403,1199.4
492.4,286.47,1168.943917525773,1198.6
496.75,288.29,1167.6760824742266,1197.3
501.48,290.32,1166.0181443298968,1195.6
505.93,292.24,1163.7750515463918,1193.3
510.34,294.11,1161.3369072164949,1190.8
514.28,295.85,1158.898762886598,1188.3
518.22,297.41,1156.1680412371134,1185.5
522.24,299.12,1153.3397938144328,1182.6
526.44,300.76,1150.5115463917525,1179.7
530.19,302.26,1148.8536082474227,1178.0
533.72,303.58,1146.220412371134,1175.3
537.24,304.9,1143.4896907216494,1172.5
539.73,305.66,1139.2960824742268,1168.2
541.13,305.79,1134.8098969072164,1163.6
543.13,304.42,1130.7138144329897,1159.4
545.37,302.69,1127.7880412371135,1156.4
549.44,299.97,1125.642474226804,1154.2
553.08,297.39,1125.5449484536082,1154.1
556.25,295.19,1122.9117525773197,1151.4
559.45,292.79,1120.863711340206,1149.3
562.13,290.65,1118.4255670103091,1146.8
564.36,288.79,1116.182474226804,1144.5
566.88,286.77,1114.0369072164947,1142.3
568.84,284.95,1113.7443298969072,1142.0
570.73,283.33,1112.9641237113403,1141.2
572.27,281.88,1112.4764948453608,1140.7
574.23,280.09,1112.4764948453608,1140.7
575.5,278.68,1113.3542268041235,1141.6
577.13,276.9,1111.3061855670103,1139.5
579.47,274.2,1108.1853608247422,1136.3
580.99,272.23,1106.722474226804,1134.8
580.68,272.38,1105.9422680412372,1134.0
582.25,270.49,1106.722474226804,1134.8
583.29,269.41,1106.3323711340206,1134.4
584.01,268.6,1106.4298969072165,1134.5
585.24,267.28,1107.1125773195877,1135.2
586.53,265.99,1109.0630927835052,1137.2
587.42,265.05,1111.2086597938146,1139.4
588.26,264.16,1112.5740206185567,1140.8
590.19,261.39,1112.6715463917526,1140.9
590.54,260.39,1113.061649484536,1141.3
591.83,258.25,1113.5492783505154,1141.8
591.79,258.24,1116.3775257731959,1144.7
592.8,257.03,1120.7661855670103,1149.2
595.03,254.61,1125.1548453608248,1153.7
595.71,253.93,1126.8127835051548,1155.4
595.91,253.7,1127.6905154639176,1156.3
596.63,252.97,1128.178144329897,1156.8
597.67,251.82,1128.6657731958762,1157.3
599.17,249.17,1130.9088659793813,1159.6
599.93,246.89,1135.2975257731957,1164.1
600.78,244.61,1141.2465979381443,1170.2
601.54,242.54,1143.4896907216494,1172.5
602.61,240.79,1145.1476288659794,1174.2
603.13,240.08,1146.4154639175258,1175.5
604.36,238.27,1147.3907216494845,1176.5
605.49,236.56,1148.2684536082475,1177.4
606.24,235.45,1148.8536082474227,1178.0
607.2,233.83,1149.9263917525773,1179.1
608.78,231.49,1151.0967010309278,1180.3
608.87,230.28,1153.3397938144328,1182.6
608.96,229.07,1156.558144329897,1185.9
609.06,227.85,1158.7037113402062,1188.1
609.15,226.64,1160.361649484536,1189.8
609.24,225.43,1160.9468041237114,1190.4
609.33,224.21,1161.7270103092783,1191.2
609.46,223.26,1162.3121649484535,1191.8
609.58,222.31,1162.5072164948454,1192.0
609.71,221.35,1162.1171134020617,1191.6
609.83,220.4,1160.7517525773196,1190.2
609.96,219.44,1159.4839175257732,1188.9
611.0,218.0,1158.5086597938146,1187.9
612.0,217.0,1158.5086597938146,1187.9
612.0,216.0,1157.5334020618557,1186.9
612.0,215.0,1155.4853608247422,1184.8
610.76,214.58,1154.4125773195876,1183.7
610.7,213.72,1153.2422680412371,1182.5
610.83,212.77,1151.4868041237114,1180.7
610.95,211.81,1149.5362886597939,1178.7
611.08,210.86,1147.1956701030927,1176.3
611.2,209.9,1144.2698969072164,1173.3
611.32,208.95,1142.2218556701032,1171.2
611.45,207.99,1140.0762886597938,1169.0
611.0,202.38,1138.223298969072,1167.1
611.09,201.17,1136.8579381443299,1165.7
611.19,199.95,1135.1024742268041,1163.9
611.28,198.74,1133.7371134020618,1162.5
611.37,197.53,1132.2742268041236,1161.0
611.46,196.31,1130.8113402061856,1159.5
611.39,194.13,1129.4459793814433,1158.1
611.6,191.8,1127.6905154639176,1156.3
611.79,190.22,1125.837525773196,1154.4
612.03,188.51,1123.8870103092784,1152.4
612.13,186.22,1122.521649484536,1151.0
612.17,184.88,1120.7661855670103,1149.2
612.21,182.52,1118.5230927835053,1146.9
612.17,180.89,1116.6701030927834,1145.0
612.35,179.89,1116.28,1144.6
612.51,177.85,1113.939381443299,1142.2
612.58,176.45,1111.1111340206185,1139.3
612.51,175.16,1108.8680412371134,1137.0
612.82,174.22,1103.9917525773196,1132.0
613.02,172.99,1099.01793814433,1126.9
613.07,171.77,1095.4094845360826,1123.2
613.11,170.09,1091.3134020618556,1119.0
613.17,168.15,1088.5826804123712,1116.2
613.23,167.31,1087.3148453608248,1114.9
613.44,166.52,1086.5346391752576,1114.1
613.8,165.88,1085.3643298969073,1112.9
613.87,164.7,1084.2915463917525,1111.8
613.74,162.76,1082.341030927835,1109.8
611.4,160.58,1080.780618556701,1108.2
609.77,161.75,1077.7573195876287,1105.1
606.0,159.49,1074.538969072165,1101.8
603.2,158.22,1072.100824742268,1099.3
600.8,157.27,1069.6626804123712,1096.8
598.41,156.16,1067.7121649484536,1094.8
595.75,154.76,1065.5665979381442,1092.6
593.59,153.64,1063.7136082474226,1090.7
590.52,152.31,1061.2754639175257,1088.2
588.61,152.37,1059.8125773195877,1086.7
586.02,153.57,1058.4472164948452,1085.3
583.09,154.93,1056.301649484536,1083.1
581.13,155.78,1053.6684536082475,1080.4
573.67,157.29,1050.9377319587627,1077.6
570.25,157.86,1048.3045360824742,1074.9
565.79,158.77,1047.1342268041237,1073.7
566.12,158.86,1046.158969072165,1072.7
562.33,160.17,1045.7688659793814,1072.3
559.32,161.81,1045.1837113402062,1071.7
555.06,164.11,1044.3059793814432,1070.8
550.16,166.72,1043.3307216494845,1069.8
546.54,168.62,1041.282680412371,1067.7
543.04,170.22,1038.5519587628867,1064.9
539.82,171.93,1036.3088659793814,1062.6
537.3,173.19,1033.9682474226804,1060.2
533.56,174.98,1032.5053608247422,1058.7
530.88,176.51,1030.8474226804124,1057.0
528.92,177.87,1029.2870103092785,1055.4
526.68,179.38,1026.5562886597936,1052.6
523.74,181.42,1025.1909278350515,1051.2
520.97,183.27,1024.898350515464,1050.9
518.56,184.95,1023.6305154639174,1049.6
515.93,186.62,1022.4602061855671,1048.4
513.73,188.07,1021.3874226804123,1047.3
511.39,189.48,1020.2171134020617,1046.1
509.54,190.76,1019.0468041237114,1044.9
507.31,192.23,1017.9740206185567,1043.8
505.79,193.2,1016.9012371134021,1042.7
504.18,194.4,1014.8531958762885,1040.6
503.01,195.38,1012.9026804123711,1038.6
503.14,196.34,1010.5620618556701,1036.2
501.49,198.57,1008.7090721649483,1034.3
498.95,202.07,1006.3684536082475,1031.9
496.18,206.0,1003.1501030927834,1028.6
494.18,208.97,1000.3218556701031,1025.7
492.11,211.85,997.8837113402062,1023.2
490.37,214.27,996.7134020618556,1022.0
488.92,216.22,997.5911340206185,1022.9
487.49,218.32,997.3960824742268,1022.7
486.53,220.15,996.6158762886597,1021.9
486.21,222.41,996.0307216494845,1021.3
486.45,224.78,994.5678350515464,1019.8
486.26,228.17,993.4950515463918,1018.7
486.3,231.24,993.1049484536081,1018.3
486.37,234.88,994.0802061855669,1019.3
486.36,237.31,994.7628865979382,1020.0
485.96,241.33,996.1282474226804,1021.4
485.79,244.98,997.4936082474226,1022.8
485.67,247.05,998.858969072165,1024.2
485.61,250.07,1000.4193814432989,1025.8
485.69,253.1,1001.5896907216495,1027.0
486.04,255.86,1005.3931958762887,1030.9
486.65,258.28,1011.4397938144328,1037.1
487.25,260.85,1015.340824742268,1041.1
488.19,265.3,1018.6567010309278,1044.5
488.73,268.93,1022.6552577319586,1048.6
489.3,272.01,1029.2870103092785,1055.4
489.55,274.82,1038.161855670103,1064.5
489.98,277.71,1043.0381443298968,1069.5
490.48,280.24,1048.4995876288658,1075.1
490.84,282.76,1056.8868041237113,1083.7
491.4,285.43,1067.9072164948454,1095.0
491.77,287.58,1075.3191752577318,1102.6
492.45,290.91,1081.2682474226804,1108.7
492.91,293.05,1090.7282474226804,1118.4
493.39,295.74,1102.236288659794,1130.2
494.02,298.52,1110.4284536082473,1138.6
494.35,300.32,1116.4750515463916,1144.8
494.96,303.26,1121.838969072165,1150.3
495.44,305.61,1127.7880412371135,1156.4
495.85,307.82,1134.419793814433,1163.2
496.31,309.99,1136.8579381443299,1165.7
496.67,312.3,1138.320824742268,1167.2
496.98,313.81,1139.4911340206186,1168.4
497.54,316.37,1140.661443298969,1169.6
498.02,318.35,1142.416907216495,1171.4
498.54,320.3,1144.0748453608246,1173.1
499.28,322.06,1145.245154639175,1174.3
500.25,324.98,1146.31793814433,1175.4
501.22,328.51,1146.31793814433,1175.4
501.91,331.4,1145.9278350515463,1175.0
502.24,333.74,1144.66,1173.7
502.73,336.65,1145.1476288659794,1174.2
503.01,338.52,1144.4649484536083,1173.5
503.45,341.22,1142.9045360824744,1171.9
503.88,343.8,1142.3193814432989,1171.3
504.33,345.97,1142.124329896907,1171.1
504.79,347.78,1141.7342268041236,1170.7
505.42,351.22,1141.6367010309277,1170.6
505.83,352.51,1141.4416494845361,1170.4
506.39,355.24,1141.2465979381443,1170.2
506.74,357.21,1141.2465979381443,1170.2
507.28,359.41,1141.1490721649484,1170.1
507.66,362.25,1141.0515463917525,1170.0
508.06,363.9,1140.8564948453607,1169.8
508.48,366.47,1140.661443298969,1169.6
508.66,367.32,1140.661443298969,1169.6
509.29,370.61,1141.2465979381443,1170.2
509.44,371.53,1140.9540206185568,1169.9
509.9,374.39,1140.3688659793813,1169.3
510.1,375.49,1139.881237113402,1168.8
510.42,377.24,1139.7837113402063,1168.7
510.86,380.05,1139.4911340206186,1168.4
511.09,380.82,1139.4911340206186,1168.4
511.38,382.75,1139.3936082474227,1168.3
511.85,385.39,1139.5886597938145,1168.5
512.07,387.03,1139.4911340206186,1168.4
512.31,387.84,1139.5886597938145,1168.5
512.73,391.22,1139.7837113402063,1168.7
512.71,392.9,1140.0762886597938,1169.0
512.26,394.76,1140.2713402061856,1169.2
511.73,396.63,1140.2713402061856,1169.2
511.24,400.08,1140.661443298969,1169.6
510.98,404.4,1140.5639175257731,1169.5
511.19,407.06,1140.758969072165,1169.7
511.14,411.6,1140.8564948453607,1169.8
510.24,415.8,1141.0515463917525,1170.0
508.94,419.81,1141.4416494845361,1170.4
507.25,425.97,1141.539175257732,1170.5
506.86,429.57,1141.7342268041236,1170.7
506.54,433.18,1141.9292783505155,1170.9
506.05,438.37,1142.3193814432989,1171.3
505.35,442.38,1142.6119587628864,1171.6
504.24,446.58,1142.9045360824744,1171.9
503.11,451.64,1143.1971134020619,1172.2
503.27,455.83,1143.4896907216494,1172.5
504.28,458.88,1143.4896907216494,1172.5
505.69,465.99,1143.879793814433,1172.9
506.17,472.02,1143.977319587629,1173.0
506.03,476.54,1144.1723711340205,1173.2
506.45,481.92,1144.562474226804,1173.6
507.37,486.88,1144.855051546392,1173.9
509.07,493.51,1145.6352577319587,1174.7
509.69,498.36,1146.5129896907215,1175.6
509.76,502.2,1147.683298969072,1176.8
510.47,501.59,1148.9511340206184,1178.1
511.17,500.98,1150.121443298969,1179.3
510.0,500.0,1151.8769072164948,1181.1
509.0,501.0,1153.5348453608246,1182.8
508.0,500.0,1154.9977319587629,1184.3
507.0,501.0,1156.8507216494845,1186.2
508.0,505.0,1158.5086597938146,1187.9
512.0,510.0,1160.2641237113403,1189.7
512.73,509.3,1162.019587628866,1191.5
519.0,517.0,1163.58,1193.1
519.0,519.0,1165.2379381443297,1194.8
519.69,518.22,1166.6032989690723,1196.2
520.39,517.44,1168.1637113402062,1197.8
521.08,516.65,1169.236494845361,1198.9
521.78,515.87,1170.601855670103,1200.3
522.47,515.09,1172.1622680412372,1201.9
523.17,514.31,1173.7226804123711,1203.5
523.86,513.53,1175.1855670103093,1205.0
524.57,512.74,1176.3558762886598,1206.2
525.28,511.96,1177.818762886598,1207.7
526.01,511.19,1178.9890721649485,1208.9
526.75,510.41,1179.8668041237113,1209.8
527.5,509.65,1180.0618556701031,1210.0
528.26,508.89,1179.6717525773195,1209.6
529.04,508.14,1178.2088659793812,1208.1
529.81,507.39,1176.7459793814432,1206.6
530.59,506.64,1175.5756701030928,1205.4
531.36,505.9,1174.600412371134,1204.4
532.13,505.15,1173.4301030927836,1203.2
532.91,504.4,1172.064742268041,1201.8
533.68,503.65,1170.5043298969072,1200.2
534.45,502.9,1168.943917525773,1198.6
535.23,502.15,1167.578556701031,1197.2
536.0,501.4,1166.1156701030927,1195.7
536.77,500.65,1164.8478350515466,1194.4
537.55,499.9,1163.6775257731958,1193.2
538.33,499.15,1162.4096907216494,1191.9
539.11,498.41,1161.7270103092783,1191.2
539.9,497.66,1160.6542268041235,1190.1
540.68,496.93,1159.4839175257732,1188.9
541.45,496.19,1158.6061855670102,1188.0
542.21,495.47,1157.923505154639,1187.3
542.98,494.75,1157.1432989690722,1186.5
543.75,494.02,1156.6556701030927,1186.0
544.53,493.29,1156.0705154639177,1185.4
545.31,492.57,1155.680412371134,1185.0
546.08,491.85,1155.1927835051547,1184.5
546.86,491.14,1154.7051546391751,1184.0
547.63,490.43,1154.2175257731958,1183.5
548.41,489.71,1153.8274226804122,1183.1
549.19,489.0,1153.6323711340208,1182.9
550.0,488.3,1153.0472164948453,1182.3
550.82,487.63,1152.7546391752578,1182.0
551.66,486.98,1152.46206185567,1181.7
552.52,486.36,1152.1694845360826,1181.4
553.39,485.78,1151.9744329896907,1181.2
554.27,485.23,1151.779381443299,1181.0
555.17,484.68,1151.3892783505153,1180.6
556.06,484.14,1151.1942268041237,1180.4
