X,Y,Z,Z_SV
547.13,496.56,1190.1070103092782,1220.3
548.06,496.63,1189.5218556701032,1219.7
548.01,496.32,1189.1317525773195,1219.3
548.24,495.89,1189.3268041237113,1219.5
548.22,495.49,1189.5218556701032,1219.7
548.16,495.06,1190.1070103092782,1220.3
548.3,494.68,1189.6193814432988,1219.8
549.02,494.4,1188.4490721649483,1218.6
549.11,494.3,1187.278762886598,1217.4
549.4,494.0,1186.0109278350515,1216.1
548.66,493.45,1185.5232989690721,1215.6
549.41,493.27,1185.0356701030926,1215.1
551.32,493.2,1184.5480412371132,1214.6
551.67,492.94,1184.3529896907216,1214.4
551.93,492.72,1183.7678350515464,1213.8
551.34,492.31,1183.6703092783505,1213.7
551.96,492.24,1183.1826804123712,1213.2
553.22,492.06,1183.0851546391752,1213.1
553.21,491.79,1183.0851546391752,1213.1
552.97,491.47,1183.0851546391752,1213.1
553.49,491.32,1182.6950515463918,1212.7
553.9,491.05,1182.6950515463918,1212.7
553.71,490.78,1182.3049484536082,1212.3
554.2,490.64,1182.3049484536082,1212.3
554.79,490.44,1182.3049484536082,1212.3
554.05,490.04,1182.3049484536082,1212.3
553.82,489.73,1182.3049484536082,1212.3
554.66,489.68,1182.3049484536082,1212.3
555.43,489.48,1182.5,1212.5
555.81,489.34,1181.8173195876288,1211.8
554.99,489.01,1181.1346391752577,1211.1
554.06,488.77,1180.7445360824743,1210.7
554.34,488.6,1180.1593814432988,1210.1
555.57,488.44,1179.9643298969072,1209.9
555.72,488.33,1179.5742268041238,1209.5
554.54,487.89,1179.7692783505154,1209.7
554.41,487.74,1179.4767010309279,1209.4
554.96,487.64,1179.5742268041238,1209.5
555.17,487.52,1179.5742268041238,1209.5
555.37,487.28,1179.6717525773195,1209.6
555.66,487.16,1179.5742268041238,1209.5
556.09,487.01,1179.9643298969072,1209.9
555.86,486.79,1180.0618556701031,1210.0
555.61,486.48,1180.1593814432988,1210.1
554.45,486.17,1180.3544329896906,1210.3
554.93,486.11,1180.6470103092781,1210.6
555.19,486.04,1180.7445360824743,1210.7
555.74,485.93,1180.7445360824743,1210.7
555.76,485.68,1181.0371134020618,1211.0
556.04,485.54,1181.1346391752577,1211.1
554.98,485.26,1181.2321649484536,1211.2
554.75,485.09,1181.524742268041,1211.5
555.04,485.02,1181.524742268041,1211.5
555.49,484.93,1181.4272164948454,1211.4
555.56,484.64,1181.2321649484536,1211.2
555.84,484.6,1181.1346391752577,1211.1
554.32,484.34,1181.1346391752577,1211.1
554.27,484.3,1180.939587628866,1210.9
554.94,484.45,1181.524742268041,1211.5
556.15,484.5,1182.2074226804125,1212.2
555.5,484.27,1182.0123711340207,1212.0
554.99,484.08,1181.4272164948454,1211.4
555.41,483.88,1181.2321649484536,1211.2
554.94,483.75,1180.7445360824743,1210.7
554.96,483.6,1180.84206185567,1210.8
555.54,483.65,1181.1346391752577,1211.1
555.27,483.38,1181.3296907216495,1211.3
554.17,483.28,1179.9643298969072,1209.9
555.64,483.33,1179.379175257732,1209.3
555.15,483.14,1179.1841237113401,1209.1
554.21,482.95,1179.7692783505154,1209.7
555.13,482.94,1180.4519587628868,1210.4
555.16,482.79,1180.0618556701031,1210.0
554.57,482.56,1179.1841237113401,1209.1
554.62,482.44,1178.5014432989692,1208.4
554.33,482.16,1178.403917525773,1208.3
554.98,482.2,1178.2088659793812,1208.1
555.03,482.16,1178.2088659793812,1208.1
554.93,482.17,1178.0138144329896,1207.9
554.66,482.11,1178.1113402061856,1208.0
554.65,482.0,1177.9162886597937,1207.8
554.99,481.94,1177.9162886597937,1207.8
555.2,481.75,1178.0138144329896,1207.9
555.09,481.68,1178.403917525773,1208.3
554.39,481.61,1178.403917525773,1208.3
554.37,481.56,1178.598969072165,1208.5
554.44,481.52,1178.9890721649485,1208.9
554.71,481.46,1179.379175257732,1209.3
555.6,481.42,1179.5742268041238,1209.5
554.84,481.12,1179.9643298969072,1209.9
555.18,481.09,1180.3544329896906,1210.3
555.03,481.03,1180.6470103092781,1210.6
555.2,480.92,1180.7445360824743,1210.7
555.01,480.74,1181.1346391752577,1211.1
554.88,480.57,1181.3296907216495,1211.3
554.63,480.51,1181.9148453608248,1211.9
554.41,480.42,1182.7925773195875,1212.8
553.57,480.14,1183.377731958763,1213.4
554.04,479.83,1184.060412371134,1214.1
553.12,479.77,1185.0356701030926,1215.1
552.83,479.61,1184.743092783505,1214.8
552.05,479.47,1185.0356701030926,1215.1
553.5,479.35,1184.8406185567012,1214.9
552.99,479.14,1183.8653608247423,1213.9
553.49,479.19,1182.8901030927836,1212.9
553.28,479.07,1182.402474226804,1212.4
552.11,478.81,1182.3049484536082,1212.3
552.81,478.7,1182.5,1212.5
553.72,478.53,1182.7925773195875,1212.8
553.01,478.42,1182.8901030927836,1212.9
553.46,478.03,1183.8653608247423,1213.9
552.46,477.74,1185.8158762886599,1215.9
553.6,477.49,1186.596082474227,1216.7
552.72,477.31,1187.181237113402,1217.3
553.0,477.15,1187.3762886597938,1217.5
552.98,476.84,1187.0837113402063,1217.2
553.12,476.66,1185.8158762886599,1215.9
552.39,476.63,1183.8653608247423,1213.9
553.07,476.53,1183.5727835051546,1213.6
553.16,476.45,1183.8653608247423,1213.9
553.18,476.39,1183.8653608247423,1213.9
553.27,476.1,1183.5727835051546,1213.6
553.37,475.7,1182.9876288659793,1213.0
552.7,475.63,1182.7925773195875,1212.8
552.5,475.66,1182.5975257731957,1212.6
553.02,475.54,1182.8901030927836,1212.9
553.05,475.48,1183.377731958763,1213.4
552.34,475.43,1183.6703092783505,1213.7
552.31,475.18,1183.6703092783505,1213.7
553.7,474.6,1183.4752577319587,1213.5
552.48,474.56,1183.5727835051546,1213.6
553.29,474.48,1183.5727835051546,1213.6
553.07,474.42,1183.6703092783505,1213.7
552.8,474.43,1184.743092783505,1214.8
551.4,474.4,1185.3282474226805,1215.4
552.4,474.4,1184.9381443298969,1215.0
551.58,474.19,1184.6455670103094,1214.7
552.3,473.89,1183.6703092783505,1213.7
551.08,473.96,1182.9876288659793,1213.0
551.47,473.78,1182.6950515463918,1212.7
550.93,473.29,1182.9876288659793,1213.0
552.66,472.83,1182.9876288659793,1213.0
547.35,473.85,1183.1826804123712,1213.2
552.6,473.45,1183.5727835051546,1213.6
550.63,472.9,1183.8653608247423,1213.9
552.45,472.1,1185.0356701030926,1215.1
550.95,472.37,1185.8158762886599,1215.9
551.72,472.72,1186.401030927835,1216.5
551.56,472.89,1186.596082474227,1216.7
550.54,472.71,1186.7911340206185,1216.9
550.68,472.24,1186.401030927835,1216.5
548.85,471.86,1184.4505154639176,1214.5
549.66,471.48,1184.8406185567012,1214.9
549.67,471.26,1186.3035051546392,1216.4
548.96,470.48,1186.4985567010308,1216.6
548.2,470.2,1186.8886597938144,1217.0
550.19,469.43,1186.4985567010308,1216.6
551.29,468.62,1186.0109278350515,1216.1
551.99,467.71,1185.718350515464,1215.8
552.7,467.13,1186.0109278350515,1216.1
552.86,466.67,1186.3035051546392,1216.4
553.43,466.09,1186.3035051546392,1216.4
552.17,466.31,1186.0109278350515,1216.1
552.72,465.71,1185.1331958762887,1215.2
552.97,464.95,1185.1331958762887,1215.2
554.43,463.28,1185.4257731958762,1215.5
554.07,462.79,1185.8158762886599,1215.9
554.06,461.73,1186.1084536082474,1216.2
553.72,461.19,1186.7911340206185,1216.9
555.28,459.88,1187.4738144329897,1217.6
556.52,458.94,1187.5713402061856,1217.7
556.08,458.52,1187.6688659793813,1217.8
556.0,458.02,1187.4738144329897,1217.6
557.33,456.82,1187.4738144329897,1217.6
559.27,455.19,1187.4738144329897,1217.6
559.93,454.42,1187.7663917525774,1217.9
558.37,455.02,1188.1564948453608,1218.3
558.86,454.19,1188.058969072165,1218.2
561.21,451.93,1188.3515463917524,1218.5
560.82,451.8,1188.2540206185568,1218.4
558.13,453.57,1187.4738144329897,1217.6
559.24,451.51,1186.8886597938144,1217.0
558.34,451.51,1186.7911340206185,1216.9
556.65,452.96,1186.9861855670101,1217.1
557.9,450.13,1187.4738144329897,1217.6
559.16,447.31,1187.7663917525774,1217.9
560.0,445.0,1187.3762886597938,1217.5
562.0,442.0,1187.0837113402063,1217.2
562.93,438.83,1186.4985567010308,1216.6
564.18,436.01,1186.1084536082474,1216.2
565.44,433.18,1185.4257731958762,1215.5
564.58,432.38,1185.4257731958762,1215.5
563.8,432.82,1185.5232989690721,1215.6
564.36,429.47,1185.620824742268,1215.7
564.8,427.79,1185.4257731958762,1215.5
564.49,427.64,1185.2307216494844,1215.3
565.24,424.63,1185.2307216494844,1215.3
565.9,422.94,1185.0356701030926,1215.1
566.2,421.98,1184.8406185567012,1214.9
565.83,421.12,1184.5480412371132,1214.6
566.42,419.01,1184.5480412371132,1214.6
566.4,417.96,1184.3529896907216,1214.4
566.48,416.34,1184.4505154639176,1214.5
566.26,415.85,1184.3529896907216,1214.4
566.38,414.31,1184.1579381443298,1214.2
566.75,412.55,1184.2554639175257,1214.3
566.71,411.65,1184.1579381443298,1214.2
566.73,410.71,1184.4505154639176,1214.5
566.77,409.36,1184.1579381443298,1214.2
567.06,408.49,1183.8653608247423,1213.9
567.04,408.18,1183.4752577319587,1213.5
567.16,406.54,1183.1826804123712,1213.2
567.09,405.82,1182.8901030927836,1212.9
567.28,404.95,1182.7925773195875,1212.8
567.38,403.89,1182.7925773195875,1212.8
567.33,402.95,1182.7925773195875,1212.8
567.31,402.18,1182.7925773195875,1212.8
567.32,401.38,1182.9876288659793,1213.0
567.4,400.23,1182.8901030927836,1212.9
567.45,399.57,1182.9876288659793,1213.0
567.33,398.48,1183.1826804123712,1213.2
567.22,398.03,1183.377731958763,1213.4
567.56,397.5,1183.4752577319587,1213.5
567.79,396.14,1183.6703092783505,1213.7
567.66,395.63,1183.7678350515464,1213.8
567.92,394.85,1184.1579381443298,1214.2
567.97,393.94,1184.3529896907216,1214.4
567.76,392.81,1184.4505154639176,1214.5
567.54,392.7,1184.5480412371132,1214.6
567.95,392.18,1184.6455670103094,1214.7
568.03,391.81,1184.8406185567012,1214.9
568.07,390.48,1184.9381443298969,1215.0
567.63,390.71,1185.0356701030926,1215.1
567.91,389.62,1185.1331958762887,1215.2
567.71,389.6,1185.2307216494844,1215.3
567.87,388.82,1185.3282474226805,1215.4
568.15,387.47,1185.5232989690721,1215.6
567.91,387.63,1185.620824742268,1215.7
568.04,387.55,1185.718350515464,1215.8
568.25,386.65,1185.8158762886599,1215.9
568.26,386.33,1185.9134020618555,1216.0
568.31,385.54,1186.0109278350515,1216.1
567.91,386.08,1186.2059793814433,1216.3
567.71,385.9,1186.3035051546392,1216.4
567.77,385.44,1186.401030927835,1216.5
567.84,384.79,1186.596082474227,1216.7
567.52,385.01,1186.596082474227,1216.7
567.25,385.18,1186.6936082474226,1216.8
566.93,384.74,1186.9861855670101,1217.1
566.97,383.55,1187.181237113402,1217.3
566.66,383.97,1187.4738144329897,1217.6
566.59,383.7,1187.6688659793813,1217.8
566.61,383.16,1187.6688659793813,1217.8
566.69,382.71,1187.961443298969,1218.1
566.66,382.32,1188.058969072165,1218.2
566.34,382.36,1188.3515463917524,1218.5
566.1,382.63,1188.6441237113402,1218.8
565.98,382.2,1188.741649484536,1218.9
565.87,381.84,1189.0342268041238,1219.2
565.41,382.1,1189.2292783505154,1219.4
565.45,381.66,1189.8144329896907,1220.0
565.66,381.65,1190.0094845360825,1220.2
565.63,381.35,1190.399587628866,1220.6
565.39,381.07,1190.5946391752577,1220.8
565.1,381.28,1190.8872164948452,1221.1
565.28,380.38,1191.179793814433,1221.4
565.08,380.87,1191.179793814433,1221.4
565.11,380.73,1191.2773195876289,1221.5
564.93,380.17,1191.3748453608246,1221.6
565.02,380.19,1191.4723711340207,1221.7
565.24,380.17,1191.7649484536082,1222.0
565.32,380.22,1191.862474226804,1222.1
565.05,380.14,1192.1550515463919,1222.4
564.92,379.68,1192.1550515463919,1222.4
565.05,379.17,1192.1550515463919,1222.4
564.97,379.07,1192.2525773195875,1222.5
564.82,379.72,1192.0575257731957,1222.3
564.67,379.88,1191.862474226804,1222.1
564.71,378.43,1191.862474226804,1222.1
564.72,378.39,1191.6674226804125,1221.9
564.86,377.95,1191.4723711340207,1221.7
565.23,377.29,1191.3748453608246,1221.6
565.51,377.33,1191.179793814433,1221.4
565.74,377.65,1191.082268041237,1221.3
566.11,376.28,1190.9847422680411,1221.2
566.04,375.7,1190.4971134020618,1220.7
566.16,374.89,1190.399587628866,1220.6
566.1,375.08,1190.2045360824743,1220.4
566.56,374.27,1190.1070103092782,1220.3
566.59,374.48,1190.2045360824743,1220.4
566.89,373.86,1190.2045360824743,1220.4
566.95,373.63,1190.2045360824743,1220.4
566.89,373.52,1190.30206185567,1220.5
567.03,372.8,1190.399587628866,1220.6
567.16,372.5,1190.4971134020618,1220.7
567.35,372.3,1190.7896907216495,1221.0
567.49,371.99,1190.9847422680411,1221.2
567.52,372.1,1191.3748453608246,1221.6
567.59,371.88,1191.4723711340207,1221.7
567.64,371.03,1191.7649484536082,1222.0
567.61,371.09,1191.96,1222.2
567.26,370.94,1192.1550515463919,1222.4
567.1,369.76,1192.0575257731957,1222.3
567.38,367.9,1192.2525773195875,1222.5
568.42,366.27,1192.5451546391753,1222.8
569.08,365.43,1192.5451546391753,1222.8
570.36,362.95,1192.6426804123712,1222.9
570.9,360.97,1192.8377319587628,1223.1
571.16,358.95,1192.8377319587628,1223.1
572.05,356.09,1193.2278350515464,1223.5
573.26,353.85,1193.4228865979383,1223.7
574.22,352.16,1193.7154639175258,1224.0
575.17,350.28,1193.9105154639176,1224.2
575.9,348.28,1194.0080412371133,1224.3
576.27,346.83,1194.0080412371133,1224.3
576.77,344.7,1193.7154639175258,1224.0
576.91,343.38,1193.520412371134,1223.8
577.56,341.3,1193.3253608247421,1223.6
578.36,340.1,1193.1303092783505,1223.4
578.85,339.13,1192.9352577319587,1223.2
579.44,337.34,1192.9352577319587,1223.2
579.72,336.03,1192.8377319587628,1223.1
580.76,333.48,1192.7402061855669,1223.0
580.57,333.82,1192.5451546391753,1222.8
581.52,331.63,1192.2525773195875,1222.5
581.62,330.97,1191.6674226804125,1221.9
581.15,331.63,1191.2773195876289,1221.5
581.76,330.24,1190.9847422680411,1221.2
581.81,329.68,1190.9847422680411,1221.2
582.13,328.96,1190.6921649484536,1220.9
582.16,328.74,1190.4971134020618,1220.7
582.69,327.41,1190.399587628866,1220.6
582.89,326.58,1190.30206185567,1220.5
583.18,325.91,1190.2045360824743,1220.4
583.31,325.56,1190.399587628866,1220.6
583.34,324.98,1190.30206185567,1220.5
583.37,324.52,1190.399587628866,1220.6
583.75,323.95,1190.4971134020618,1220.7
584.09,322.92,1190.5946391752577,1220.8
584.31,322.29,1190.7896907216495,1221.0
584.28,321.71,1190.6921649484536,1220.9
584.78,320.69,1190.8872164948452,1221.1
584.83,320.52,1190.7896907216495,1221.0
584.72,320.74,1190.399587628866,1220.6
584.98,320.1,1189.9119587628866,1220.1
584.82,320.12,1189.424329896907,1219.6
584.61,320.54,1189.3268041237113,1219.5
584.59,320.41,1189.0342268041238,1219.2
584.79,320.02,1188.9367010309277,1219.1
584.67,320.26,1188.9367010309277,1219.1
584.84,319.54,1188.741649484536,1218.9
584.74,319.43,1188.6441237113402,1218.8
584.74,319.61,1188.5465979381443,1218.7
585.01,319.19,1188.5465979381443,1218.7
584.96,319.15,1188.4490721649483,1218.6
584.92,319.24,1188.2540206185568,1218.4
584.9,319.12,1187.6688659793813,1217.8
584.29,319.48,1187.181237113402,1217.3
584.04,319.77,1186.6936082474226,1216.8
584.05,319.47,1186.2059793814433,1216.3
584.25,319.14,1186.0109278350515,1216.1
584.06,319.28,1185.718350515464,1215.8
584.09,319.44,1185.718350515464,1215.8
584.13,319.65,1185.620824742268,1215.7
584.19,319.81,1185.1331958762887,1215.2
584.28,319.81,1185.0356701030926,1215.1
584.32,319.33,1184.8406185567012,1214.9
583.98,319.37,1184.060412371134,1214.1
583.84,319.05,1183.377731958763,1213.4
583.78,318.52,1182.9876288659793,1213.0
583.33,319.01,1182.5,1212.5
583.31,319.02,1182.2074226804125,1212.2
583.55,318.69,1182.1098969072164,1212.1
583.31,318.75,1181.8173195876288,1211.8
583.89,318.14,1181.8173195876288,1211.8
583.37,318.84,1181.3296907216495,1211.3
583.54,318.49,1180.939587628866,1210.9
583.48,318.39,1180.3544329896906,1210.3
583.51,318.27,1179.7692783505154,1209.7
583.46,318.3,1178.8915463917524,1208.8
583.53,318.26,1178.2088659793812,1208.1
583.8,318.08,1178.0138144329896,1207.9
