X,Y,Z,Z_SV
294.34,552.44,857.7976907216494,879.56
292.57,552.27,856.7639175257732,878.5
290.88,552.19,855.8569278350516,877.57
287.66,552.07,854.8719175257731,876.56
285.23,551.73,854.0429484536082,875.71
283.46,551.24,853.174969072165,874.82
278.85,550.7,852.6093195876289,874.24
277.3,550.46,851.8876288659793,873.5
275.39,550.73,851.1561855670103,872.75
275.63,550.83,850.7075670103093,872.29
275.69,551.97,850.3272164948453,871.9
276.13,553.87,850.5612783505154,872.14
276.87,555.63,850.5125154639176,872.09
277.64,558.54,851.4195051546392,873.02
278.68,560.25,852.4240206185566,874.05
279.79,561.68,853.2822474226804,874.93
281.16,563.42,854.5403298969072,876.22
282.54,565.09,855.7789072164949,877.49
283.74,566.52,858.0805154639175,879.85
285.07,568.2,860.8307422680411,882.67
286.12,569.38,862.1473402061855,884.02
287.08,570.57,863.3274020618557,885.23
287.92,571.5,865.3656907216495,887.32
288.5,572.12,866.984618556701,888.98
288.91,572.51,868.8376082474226,890.88
289.85,573.92,871.5780824742268,893.69
289.47,571.38,873.6163711340206,895.78
291.81,574.02,875.6839175257732,897.9
294.58,575.04,877.0297731958763,899.28
297.63,576.34,878.9120206185568,901.21
300.77,577.6,880.8625360824742,903.21
303.16,578.57,882.5789896907216,904.97
306.13,580.25,884.4709896907216,906.91
308.86,582.21,885.6608041237113,908.13
310.07,582.68,886.3532371134021,908.84
312.72,583.94,886.801855670103,909.3
316.16,584.87,886.0021443298969,908.48
319.43,584.99,885.8656082474226,908.34
322.18,584.99,887.1236907216495,909.63
326.0,585.8,887.1139381443298,909.62
329.63,587.07,886.8408659793814,909.34
333.85,589.21,886.4995257731958,908.99
337.37,591.19,885.8461030927836,908.32
341.78,591.89,885.3292164948454,907.79
345.76,591.51,884.6367835051547,907.08
350.48,591.23,883.6810309278351,906.1
355.51,591.26,882.9398350515464,905.34
360.33,591.51,882.0230927835051,904.4
364.47,591.79,880.96006185567,903.31
368.49,592.33,880.0238144329896,902.35
372.69,593.12,879.048556701031,901.35
375.84,593.58,878.1610721649485,900.44
380.07,593.97,877.1565567010309,899.41
383.59,593.39,876.2885773195876,898.52
388.92,593.46,875.4205979381443,897.63
394.67,594.55,874.3770721649483,896.56
400.05,596.34,873.2262680412371,895.38
407.63,598.61,872.1437319587628,894.27
412.91,598.83,870.983175257732,893.08
418.21,598.97,869.8128659793814,891.88
423.41,599.2,868.8571134020618,890.9
428.45,599.65,867.6965567010309,889.71
433.91,600.4,866.7212989690722,888.71
438.51,601.14,865.2974226804123,887.25
444.02,602.29,864.1563711340207,886.08
449.27,603.2,862.8300206185567,884.72
452.81,603.02,861.1038144329897,882.95
456.45,602.82,859.7091958762886,881.52
460.1,602.61,858.070762886598,879.84
463.74,602.66,856.5883711340207,878.32
467.97,603.16,855.2230103092783,876.92
471.08,603.58,853.7991340206186,875.46
475.85,604.82,852.297237113402,873.92
481.35,605.56,850.7075670103093,872.29
484.64,604.8,849.225175257732,870.77
488.93,604.18,847.5672371134021,869.07
493.75,603.87,845.9775670103093,867.44
497.87,603.87,844.280618556701,865.7
503.55,604.49,842.9152577319587,864.3
507.1,604.8,841.2963298969072,862.64
511.86,605.61,840.0772577319588,861.39
516.16,606.5,838.5168453608247,859.79
519.11,606.66,836.9954432989691,858.23
523.34,607.12,835.7763711340206,856.98
525.25,606.74,834.3329896907217,855.5
528.93,606.65,833.0846597938145,854.22
532.58,606.87,831.8558350515464,852.96
535.83,606.83,831.4072164948453,852.5
