X1	Y1	ProbId1	X2	Y2	ProbId2	X3	Y3	ProbId3	X4	Y4	ProbId4	X5	Y5	ProbId5	X6	Y6	ProbId6	
545.37	302.69	0.62391	403.52	154.04	0.9837	555.66	487.16	0.81514	597.77	374.98	0.82907	624.41	188.9	0.80325	329.63	587.07	0.54234
549.44	299.97	0.62391	404.49	156.47	0.9837	556.09	487.01	0.81514	597.7	374.19	0.82907	624.25	187.73	0.80325	333.85	589.21	0.54234
553.08	297.39	0.62391	405.52	158.73	0.9837	555.86	486.79	0.81514	597.46	372.92	0.82907	623.67	187.6	0.80325	337.37	591.19	0.54234
556.25	295.19	0.62391	406.33	160.68	0.9837	555.61	486.48	0.81514	597.19	372.23	0.82907	623.28	187.08	0.80325	341.78	591.89	0.54234
559.45	292.79	0.62391	407.35	163.13	0.9837	554.45	486.17	0.81514	597.15	371.83	0.82907	623.54	186.83	0.80325	345.76	591.51	0.54234
562.13	290.65	0.62391	408.04	164.92	0.9837	554.93	486.11	0.81514	596.99	370.85	0.82907	624.48	184.93	0.80325	350.48	591.23	0.54234
564.36	288.79	0.62391	408.96	166.95	0.9837	555.19	486.04	0.81514	596.84	371.03	0.82907	625.61	181.63	0.80325	355.51	591.26	0.54234
566.88	286.77	0.62391	409.71	168.69	0.9837	555.74	485.93	0.81514	596.7	369.97	0.82907	626.18	175.9	0.80325	360.33	591.51	0.54234
568.84	284.95	0.62391	410.47	170.44	0.9837	555.76	485.68	0.81514	596.74	369.26	0.82907	626.42	171.16	0.80325	364.47	591.79	0.54234
570.73	283.33	0.62391	411.17	171.99	0.9837	556.04	485.54	0.81514	597	367.73	0.82907	625.94	170.34	0.80325	368.49	592.33	0.54234
572.27	281.88	0.62391	411.36	172.88	0.9837	554.98	485.26	0.81514	596.97	366.95	0.82907	625.28	170.68	0.80325	372.69	593.12	0.54234
574.23	280.09	0.62391	412.2	174.43	0.9837	554.75	485.09	0.81514	596.99	366.22	0.82907	624.74	169.71	0.80325	375.84	593.58	0.54234
575.5	278.68	0.62391	414.07	176.18	0.9837	555.04	485.02	0.81514	596.87	365.62	0.82907	624.33	168.45	0.80325	380.07	593.97	0.54234
577.13	276.9	0.62391	417	177.51	0.9837	555.49	484.93	0.81514	596.78	364.77	0.82907	624.01	167.82	0.80325	383.59	593.39	0.54234
579.47	274.2	0.62391	421.58	179.54	0.9837	555.56	484.64	0.81514	596.82	363.45	0.82907	624.29	165.1	0.80325	388.92	593.46	0.54234
580.99	272.23	0.62391	424.5	180.44	0.9837	555.84	484.6	0.81514	596.66	362.98	0.82907	624.57	161	0.80325	394.67	594.55	0.54234
580.68	272.38	0.62391	428.04	182.06	0.9837	554.32	484.34	0.81514	596.63	362.14	0.82907	623.79	158.33	0.80325	400.05	596.34	0.54234
582.25	270.49	0.62391	430.52	183.37	0.9837	554.27	484.3	0.81514	596.61	362.09	0.82907	622.74	157.98	0.80325	407.63	598.61	0.54234
583.29	269.41	0.62391	432.8	184.44	0.9837	554.94	484.45	0.81514	596.66	361.39	0.82907	621.4	158.86	0.80325	412.91	598.83	0.54234
584.01	268.6	0.62391	436.2	185.69	0.9837	556.15	484.5	0.81514	596.5	359.41	0.82907	619.62	160.09	0.80325	418.21	598.97	0.54234
585.24	267.28	0.62391	439.83	186.25	0.9837	555.5	484.27	0.81514	596.58	358.37	0.82907	618.21	161.37	0.80325	423.41	599.2	0.54234
586.53	265.99	0.62391	443.84	186.53	0.9837	554.99	484.08	0.81514	596.51	358.25	0.82907	616.56	160.82	0.80325	428.45	599.65	0.54234
587.42	265.05	0.62391	447.95	186.68	0.9837	555.41	483.88	0.81514	596.49	357.34	0.82907	616.11	159.05	0.80325	433.91	600.4	0.54234
588.26	264.16	0.62391	451.78	187.04	0.9837	554.94	483.75	0.81514	596.85	355.63	0.82907	617.05	156.4	0.80325	438.51	601.14	0.54234
