X,Y,Z
353.01,162.92,-199.44907216494835
354.42,165.36,-200.81443298969089
357.11,169.54,-202.6674226804123
359.71,173.26,-204.52041237113394
362.39,177.12,-202.4723711340207
364.95,180.87,-200.81443298969089
367.3,184.22,-201.10701030927817
369.69,187.61,-199.74164948453608
372.03,191.18,-197.3035051546392
373.82,193.77,-196.62082474226804
375.83,196.55,-195.45051546391755
378.73,199.26,-194.57278350515458
382.19,201.08,-193.59752577319568
387.25,203.74,-193.10989690721635
392.57,207.87,-192.42721649484542
396.68,211.63,-191.25690721649494
401.72,215.51,-190.1841237113399
406.55,217.67000000000002,-189.01381443298965
411.84,220.05,-187.6484536082471
417.17,222.88,-186.57567010309276
422.46,226.14999999999998,-185.30783505154636
428.4,229.92000000000002,-184.1375257731961
433.4,232.75,-182.8696907216497
438.47,235.10000000000002,-181.699381443299
443.8,237.47000000000003,-180.72412371134033
448.4,239.47000000000003,-179.94391752577303
452.75,241.29000000000002,-178.67608247422663
457.48,243.32,-177.0181443298968
461.93,245.24,-174.77505154639175
466.34,247.11,-172.33690721649486
470.28,248.85000000000002,-169.89876288659798
474.22,250.41000000000003,-167.16804123711336
478.24,252.12,-164.33979381443282
482.44000000000005,253.76,-161.5115463917523
486.19000000000005,255.26,-159.8536082474227
489.72,256.58,-157.220412371134
493.24,257.9,-154.48969072164937
495.73,258.66,-150.29608247422675
497.13,258.79,-145.8098969072164
499.13,257.42,-141.7138144329897
501.37,255.69,-138.7880412371137
505.44000000000005,252.97000000000003,-136.6424742268041
509.08000000000004,250.39,-136.54494845360819
512.25,248.19,-133.9117525773197
515.45,245.79000000000002,-131.863711340206
518.13,243.64999999999998,-129.42556701030912
520.36,241.79000000000002,-127.18247422680406
522.88,239.76999999999998,-125.03690721649491
524.84,237.95,-124.74432989690717
526.73,236.32999999999998,-123.96412371134033
528.27,234.88,-123.47649484536078
530.23,233.08999999999997,-123.47649484536078
531.5,231.68,-124.35422680412353
533.13,229.89999999999998,-122.30618556701029
535.47,227.2,-119.18536082474225
536.99,225.23000000000002,-117.72247422680402
536.68,225.38,-116.94226804123718
538.25,223.49,-117.72247422680402
