X,Y,Z
560.03,356.25,-204.3253608247419
559.75,355.03,-204.3253608247419
559.54,355.19,-204.3253608247419
559.29,354.01,-204.22783505154644
558.83,353.29,-203.9352577319587
558.71,352.84,-203.8377319587628
558.57,352.22,-203.9352577319587
558.45,351.89,-203.8377319587628
558.24,351.39,-203.8377319587628
557.92,349.91,-203.8377319587628
557.68,349.12,-203.8377319587628
557.62,349.12,-203.9352577319587
557.32,348.28,-203.9352577319587
557.31,347.88,-204.0327835051546
557.15,347.2,-204.0327835051546
557.04,346.59,-204.0327835051546
556.83,345.88,-204.22783505154644
556.8,345.36,-204.3253608247419
556.49,345.08,-204.3253608247419
556.35,344.19,-204.52041237113394
556.02,344.25,-204.52041237113394
556.08,343.05,-204.71546391752577
556.05,342.66,-204.81298969072168
556.05,342.08,-204.81298969072168
556.09,341.19,-204.81298969072168
556.01,339.61,-204.71546391752577
555.72,339.24,-204.71546391752577
555.51,338.45,-204.61793814433008
555.27,337.85,-204.52041237113394
554.91,336.27,-204.4228865979385
554.72,335.48,-204.52041237113394
554.53,334.64,-204.61793814433008
554.46,335.36,-204.61793814433008
554.4,334.21,-204.71546391752577
554.18,333.25,-204.81298969072168
554.25,331.83,-204.81298969072168
554.16,331.3,-204.81298969072168
554.16,330.13,-204.81298969072168
554.24,329.38,-204.61793814433008
553.91,328.88,-204.4228865979385
553.77,327.98,-204.22783505154644
553.7,327.19,-204.22783505154644
553.46,325.92,-203.9352577319587
553.19,325.23,-203.8377319587628
553.15,324.83,-203.74020618556688
552.99,323.85,-203.6426804123712
552.84,324.03,-203.6426804123712
552.7,322.97,-203.44762886597937
552.74,322.26,-203.25257731958754
553.0,320.73,-203.0575257731955
552.97,319.95,-202.5698969072164
552.99,319.22,-202.27731958762888
552.87,318.62,-201.69216494845364
552.78,317.77,-201.2045360824743
552.82,316.45,-200.71690721649497
552.66,315.98,-200.22927835051541
552.63,315.14,-199.74164948453608
552.61,315.09,-199.44907216494835
552.66,314.39,-199.35154639175244
552.5,312.41,-199.05896907216493
552.58,311.37,-198.47381443298968
552.51,311.25,-198.18123711340195
552.49,310.34,-197.69360824742262
552.85,308.63,-197.20597938144329
553.0,308.28,-196.71835051546395
553.13,306.71,-196.1331958762887
553.15,306.17,-195.54804123711324
553.33,304.5,-195.15793814432982
553.17,305.33,-194.4752577319589
553.15,303.15,-193.9876288659791
553.21,302.85,-193.5
553.29,301.25,-193.10989690721635
553.32,300.94,-192.71979381443293
553.43,300.7,-192.62226804123702
553.44,300.75,-192.2321649484536
553.63,298.61,-192.03711340206178
553.71,298.58,-191.9395876288661
553.75,298.01,-191.6470103092779
553.95,296.91,-191.54948453608245
554.01,296.11,-191.45195876288676
554.48,294.16,-191.45195876288676
554.36,293.85,-191.35443298969062
554.5,293.09,-191.25690721649494
554.55,293.09,-191.0618556701031
554.82,291.98,-191.25690721649494
555.01,290.66,-191.35443298969062
554.9,291.15,-191.35443298969062
555.0,290.54,-191.35443298969062
554.88,290.21,-191.25690721649494
554.92,290.29,-191.1593814432988
555.15,288.48,-191.45195876288676
555.01,288.76,-191.45195876288676
555.11,288.03,-191.54948453608245
555.25,286.94,-191.54948453608245
555.32,286.93,-191.7445360824745
555.5,286.3,-191.7445360824745
555.87,284.58,-191.84206185566995
555.95,284.29,-191.84206185566995
556.08,283.93,-192.03711340206178
556.31,282.9,-191.9395876288661
556.06,282.86,-192.2321649484536
556.17,282.08,-192.3296907216495
556.09,281.85,-192.1346391752577
556.45,279.83,-192.3296907216495
556.46,279.62,-192.3296907216495
556.47,279.18,-192.3296907216495
556.52,278.83,-192.5247422680411
556.12,279.66,-192.5247422680411
556.17,278.82,-192.3296907216495
556.52,277.04,-192.3296907216495
556.27,278.13,-192.5247422680411
556.41,276.65,-192.3296907216495
556.49,276.42,-192.2321649484536
556.44,276.44,-192.3296907216495
556.55,275.08,-192.1346391752577
556.61,274.88,-192.2321649484536
556.44,275.36,-192.2321649484536
556.61,273.78,-192.1346391752577
556.55,273.7,-192.1346391752577
556.52,273.02,-192.2321649484536
556.53,271.95,-192.2321649484536
556.48,271.4,-192.1346391752577
556.53,271.38,-192.2321649484536
556.51,270.96,-192.1346391752577
556.55,270.41,-192.2321649484536
556.5,270.5,-192.03711340206178
556.56,269.6,-192.1346391752577
556.4,269.82,-192.03711340206178
556.25,269.06,-191.84206185566995
555.92,269.47,-191.84206185566995
555.83,269.78,-191.54948453608245
555.8,270.14,-191.54948453608245
555.7,269.76,-191.35443298969062
555.95,267.84,-191.35443298969062
555.93,268.12,-190.76927835051538
555.97,267.17,-190.76927835051538
555.96,266.12,-190.4767010309281
555.65,266.91,-190.28164948453605
555.57,266.7,-190.08659793814422
555.7,265.89,-190.08659793814422
555.8,266.21,-190.08659793814422
555.83,265.94,-189.9890721649483
555.94,264.98,-189.9890721649483
555.87,264.21,-189.8915463917524
555.66,264.65,-189.8915463917524
555.65,264.89,-189.8915463917524
555.88,264.12,-189.5989690721649
555.98,263.76,-189.5014432989692
555.6,265.45,-189.6964948453608
555.74,263.28,-189.5989690721649
555.75,263.4,-189.40391752577307
555.68,263.65,-189.30639175257738
555.6,263.11,-189.40391752577307
555.38,262.33,-189.30639175257738
555.26,262.86,-189.40391752577307
555.22,264.17,-189.40391752577307
556.46,254.79000000000002,-189.30639175257738
557.71,245.41000000000003,-189.11134020618556
556.84,248.48000000000002,-188.7212371134019
556.12,251.17000000000002,-188.62371134020623
555.89,253.22000000000003,-188.52618556701032
555.6,254.99,-188.62371134020623
555.31,256.76,-188.62371134020623
555.02,258.53,-188.52618556701032
554.73,260.3,-188.4286597938144
554.44,262.07,-187.94103092783507
554.39,262.31,-187.94103092783507
554.21,262.69,-187.74597938144325
554.08,262.65,-187.4534020618555
554.03,261.23,-187.06329896907232
553.8,261.96,-186.6731958762889
553.99,260.37,-186.38061855670094
553.54,260.58,-185.99051546391752
553.3,260.71,-186.08804123711343
553.2,260.52,-185.6004123711341
553.23,260.24,-185.6004123711341
553.21,260.56,-185.30783505154636
553.05,259.96,-185.21030927835045
552.76,259.47,-184.91773195876294
552.58,259.6,-184.6251546391752
552.52,258.61,-184.6251546391752
552.32,258.91,-184.4301030927836
552.18,258.85,-184.3325773195877
552.14,258.91,-183.94247422680405
551.95,258.43,-183.64989690721632
551.73,258.45,-183.3573195876288
551.54,258.84,-183.06474226804107
551.38,258.41,-182.8696907216497
550.97,258.01,-182.6746391752581
550.79,257.58,-182.38206185566992
550.91,257.03,-181.89443298969059
550.8,257.4,-181.50432989690717
550.77,256.73,-181.11422680412352
550.64,256.16,-180.821649484536
550.37,255.86,-180.6265979381442
550.39,255.95,-180.236494845361
550.5,254.57999999999998,-180.13896907216485
550.09,255.02999999999997,-179.84639175257712
549.64,255.35000000000002,-179.5538144329896
549.47,254.64,-179.0661855670105
549.56,254.23000000000002,-178.96865979381437
549.48,254.23000000000002,-178.67608247422663
549.53,253.64999999999998,-178.28597938144344
549.15,255.05,-177.8958762886598
549.16,253.82,-177.50577319587592
549.35,253.32,-177.21319587628864
549.21,253.11,-176.82309278350522
549.15,252.22000000000003,-176.7255670103093
548.62,252.44,-176.43298969072157
548.67,252.44,-175.94536082474224
548.77,251.45,-175.5552577319586
548.8,250.93,-175.26268041237108
548.77,250.76999999999998,-174.77505154639175
548.5,250.79000000000002,-174.57999999999993
548.35,251.26,-174.48247422680402
548.16,250.45,-174.38494845360833
547.97,250.63,-173.79979381443286
547.98,250.7,-173.60474226804104
548.03,250.20999999999998,-173.50721649484535
548.06,249.94,-173.1171134020617
548.23,249.98000000000002,-173.1171134020617
548.33,249.12,-172.62948453608237
547.85,248.57999999999998,-172.43443298969078
547.75,248.27999999999997,-172.23938144329895
547.62,248.75,-171.6542268041237
547.42,247.73000000000002,-171.5567010309278
547.43,248.45,-171.4591752577321
547.51,248.04000000000002,-171.06907216494847
547.68,247.63,-170.87402061855664
547.62,246.91000000000003,-170.58144329896913
547.57,246.89999999999998,-170.3863917525773
547.53,245.68,-169.80123711340207
547.2,246.7,-169.50865979381456
547.34,246.22000000000003,-169.60618556701024
547.49,245.37,-169.31360824742274
547.58,245.42000000000002,-169.2160824742266
547.51,245.26999999999998,-168.8259793814434
547.42,245.14,-168.43587628865976
547.33,244.51999999999998,-168.33835051546384
546.93,243.85000000000002,-167.94824742268042
547.13,244.70999999999998,-167.46061855670087
547.15,244.7,-166.97298969072153
546.97,243.5,-166.5828865979381
546.9,243.14999999999998,-166.09525773195878
546.98,243.22000000000003,-165.60762886597945
546.97,242.52999999999997,-165.2175257731958
546.87,242.22000000000003,-164.72989690721647
546.89,241.97000000000003,-164.33979381443282
546.77,242.83999999999997,-163.8521649484535
546.73,242.48000000000002,-163.36453608247416
546.62,242.88,-162.97443298969074
546.59,242.32,-162.4868041237114
546.45,242.77999999999997,-161.99917525773208
546.41,243.07,-161.60907216494843
546.14,242.76999999999998,-161.1214432989691
546.09,243.08999999999997,-160.63381443298954
546.32,242.32999999999998,-160.24371134020635
546.52,242.8,-159.7560824742268
546.63,242.75,-159.36597938144337
546.53,242.68,-158.8783505154638
546.41,242.73000000000002,-158.39072164948448
546.52,242.20999999999998,-158.00061855670083
546.51,241.87,-157.5129896907215
546.49,242.58999999999997,-157.02536082474217
546.43,243.10000000000002,-156.63525773195875
546.5,242.91000000000003,-156.1476288659794
546.36,242.38,-155.75752577319577
546.46,241.45,-155.26989690721643
546.39,241.69,-154.7822680412371
545.99,242.75,-154.39216494845368
546.1,240.7,-153.5144329896907
545.84,241.55,-152.83175257731955
546.14,241.91000000000003,-152.05154639175248
546.56,241.07999999999998,-151.27134020618564
546.83,241.18,-150.881237113402
547.07,241.32,-150.19855670103084
547.28,240.91000000000003,-149.7109278350515
547.35,241.02999999999997,-148.93072164948444
547.55,240.75,-148.24804123711328
547.31,240.66000000000003,-147.3703092783503
547.25,240.54000000000002,-146.5901030927837
547.34,240.74,-145.9074226804123
547.49,240.44,-145.1272164948457
548.01,239.93,-144.73711340206182
548.11,239.72000000000003,-144.2494845360825
547.99,239.32,-143.76185567010316
547.92,239.64,-143.17670103092792
548.11,239.22000000000003,-142.88412371134018
548.76,238.55,-142.49402061855676
549.06,238.82,-141.9088659793813
549.33,238.58999999999997,-141.61628865979378
549.54,238.26999999999998,-141.32371134020605
549.68,237.89999999999998,-140.73855670103103
549.99,237.64,-140.4459793814433
550.07,237.39999999999998,-140.0558762886601
550.31,236.77999999999997,-139.7632989690719
550.29,237.01,-139.4707216494844
550.27,236.95,-139.2756701030928
550.3,236.95,-138.98309278350507
550.37,237.07999999999998,-138.88556701030916
550.82,236.63,-138.69051546391756
550.91,236.73000000000002,-138.4954639175255
550.95,236.49,-138.30041237113392
550.79,236.72000000000003,-138.202886597938
550.69,237.14999999999998,-138.00783505154618
550.67,237.56,-137.9103092783505
551.06,237.13,-137.8127835051548
551.7,236.87,-137.8127835051548
552.08,236.93,-137.03257731958752
552.63,236.99,-137.32515463917525
553.48,236.04000000000002,-136.74
554.5,234.57999999999998,-136.3498969072166
555.1,233.86,-135.76474226804112
555.38,233.87,-135.4721649484536
555.58,233.70999999999998,-134.69195876288632
555.81,233.26,-134.0092783505154
556.23,232.64999999999998,-133.7167010309281
556.39,232.49,-133.6191752577315
557.01,231.73000000000002,-133.52164948453606
557.56,231.10000000000002,-133.03402061855672
558.16,230.70999999999998,-132.8389690721649
558.73,230.44,-132.741443298969
559.16,230.13,-132.5463917525774
559.39,229.85000000000002,-132.35134020618557
560.09,229.01999999999998,-132.35134020618557
560.22,228.88,-132.35134020618557
560.68,228.48000000000002,-131.96123711340192
561.83,227.33999999999997,-131.96123711340192
560.19,229.55,-131.96123711340192
562.28,226.98000000000002,-131.96123711340192
562.78,226.31,-131.96123711340192
563.09,225.85000000000002,-131.96123711340192
563.12,225.70999999999998,-131.96123711340192
563.13,225.74,-131.96123711340192
563.78,225.22000000000003,-131.96123711340192
563.07,226.43,-131.96123711340192
563.01,226.45,-132.05876288659783
564.31,224.92000000000002,-132.05876288659783
564.26,224.82999999999998,-132.05876288659783
564.95,224.08999999999997,-132.05876288659783
563.6,225.67000000000002,-132.05876288659783
565.43,223.74,-132.05876288659783
565.65,223.64,-132.05876288659783
564.11,225.31,-132.05876288659783
563.57,225.93,-132.05876288659783
564.69,224.63,-132.05876288659783
565.73,223.36,-132.05876288659783
565.87,222.99,-132.15628865979352
565.97,223.14,-132.15628865979352
564.28,225.01999999999998,-132.15628865979352
566.07,223.08999999999997,-132.64391752577308
566.0,222.99,-132.8389690721649
566.34,222.66000000000003,-132.9364948453608
566.64,222.39999999999998,-133.22907216494832
566.16,222.82999999999998,-133.22907216494832
566.52,222.52999999999997,-133.7167010309281
566.64,222.37,-133.9117525773197
566.88,221.99,-134.30185567010312
566.53,222.12,-134.39938144329903
567.08,221.37,-134.39938144329903
565.16,223.14,-134.88701030927837
565.17,223.20999999999998,-135.08206185566996
565.47,223.07,-135.2771134020618
567.06,221.64999999999998,-135.4721649484536
567.26,221.07,-135.86226804123726
564.8,222.97000000000003,-136.15484536082477
566.57,221.02999999999997,-136.4474226804125
565.72,221.70999999999998,-136.6424742268041
566.22,221.26,-137.2276288659791
565.99,221.42000000000002,-137.42268041237116
566.52,221.01999999999998,-137.52020618556685
567.29,220.57999999999998,-138.00783505154618
567.41,220.61,-138.39793814432983
567.08,220.72000000000003,-138.59298969072165
567.94,220.38,-138.98309278350507
567.92,220.58999999999997,-138.88556701030916
568.62,220.31,-138.7880412371137
569.03,219.94,-138.7880412371137
570.04,220.01999999999998,-138.69051546391756
570.75,219.87,-138.4954639175255
571.46,219.73000000000002,-138.4954639175255
572.16,219.57999999999998,-138.7880412371137
572.87,219.44,-138.7880412371137
573.58,219.29000000000002,-139.2756701030928
574.29,219.14999999999998,-139.66577319587623
575.0,219.0,-140.0558762886601
576.0,220.0,-140.34845360824738
577.0,222.0,-140.2509278350517
577.0,223.0,-140.5435051546392
577.0,224.0,-140.0558762886601
577.0,225.0,-139.66577319587623
577.0,226.0,-139.08061855670098
578.0,227.0,-138.202886597938
578.0,227.0,-137.2276288659791
579.0,228.0,-135.95979381443294
579.0,228.0,-135.4721649484536
579.0,229.0,-134.78948453608245
579.0,230.0,-134.30185567010312
579.0,232.0,-134.0092783505154
577.61,233.43,-133.7167010309281
578.0,234.0,-133.32659793814423
577.0,235.0,-133.03402061855672
575.42,235.39999999999998,-132.741443298969
574.35,234.04000000000002,-132.15628865979352
574.37,234.36,-131.96123711340192
575.13,235.85000000000002,-131.18103092783485
574.87,235.92000000000002,-130.40082474226801
573.76,235.12,-129.81567010309277
582.0,258.0,-129.52309278350526
581.0,261.0,-128.8404123711341
579.0,262.0,-128.15773195876295
578.0,263.0,-127.67010309278339
577.28,264.33,-127.27999999999997
577.52,265.55,-127.18247422680406
577.76,266.78,-127.08494845360838
578.0,268.0,-127.08494845360838
577.55,269.54,-126.88989690721655
577.78,270.77,-126.69484536082473
578.0,272.0,-126.69484536082473
577.58,274.48,-126.59731958762882
577.79,275.74,-126.69484536082473
578.0,277.0,-126.69484536082473
580.0,278.0,-126.79237113402041
581.0,281.0,-126.98742268041224
582.0,284.0,-127.37752577319611
582.0,287.0,-127.86515463917522
582.0,291.0,-128.35278350515432
582.0,295.0,-128.6453608247425
581.0,298.0,-129.2305154639173
580.91,300.4,-129.62061855670095
581.14,301.91,-130.1082474226805
581.38,303.42,-130.59587628865984
581.61,304.93,-131.08350515463917
581.84,306.44,-131.5711340206185
582.07,307.96,-131.863711340206
582.3,309.47,-132.35134020618557
582.54,310.98,-132.8389690721649
582.77,312.49,-133.22907216494832
583.0,314.0,-133.7167010309281
582.0,316.0,-134.2043298969072
579.69,317.7,-134.78948453608245
579.87,319.22,-135.5696907216493
