X1	Y1	ProbId1	X2	Y2	ProbId2	X3	Y3	ProbId3	X4	Y4	ProbId4	X5	Y5	ProbId5	X6	Y6	ProbId6	
1223.9	393.36	0.95773	920.96	195.99	-2	914.31	151.97	0.57629	1163.6	597.63	0.99106	909.63	302.19	0.88134	1209.5	495.86	0.97113
1223.7	392.24	0.95773	919.89	197.04	-2	912.9	153.21	0.57629	1159.4	598.53	0.99106	909.62	301.04	0.88134	1209.6	495.64	0.97113
1223.5	392.14	0.95773	918.51	197.84	-2	911.85	155.3	0.57629	1156.4	598.76	0.99106	909.34	300.43	0.88134	1209.5	495.57	0.97113
1223.5	389.88	0.95773	917	198	-2	910.53	155.56	0.57629	1154.2	598.83	0.99106	908.99	299.46	0.88134	1209.9	495.23	0.97113
1223.2	389.5	0.95773	917	197	-2	909.26	157.09	0.57629	1154.1	597.5	0.99106	908.32	298.73	0.88134	1210	495	0.97113
1223.1	388.9	0.95773	917	197	-2	907.39	156.13	0.57629	1151.4	599.5	0.99106	907.79	297.04	0.88134	1210.1	494.95	0.97113
1223	387.09	0.95773	917	197	-2	905.78	156.93	0.57629	1149.3	601.18	0.99106	907.08	295.6	0.88134	1210.3	494.88	0.97113
1222.9	385.84	0.95773	916	197	-2	904.05	158.15	0.57629	1146.8	602.16	0.99106	906.1	294.13	0.88134	1210.6	494.83	0.97113
1222.9	384.86	0.95773	915	198	-2	902.8	159.03	0.57629	1144.5	603.51	0.99106	905.34	292.24	0.88134	1210.7	494.56	0.97113
1222.7	384.24	0.95773	913	198	-2	901.32	159.4	0.57629	1142.3	605.15	0.99106	904.4	290.1	0.88134	1210.7	494.37	0.97113
1222.5	383.04	0.95773	912	198	-2	900.02	159.93	0.57629	1142	605.52	0.99106	903.31	288.24	0.88134	1211	493.95	0.97113
1222.3	381.8	0.95773	911	199	-2	898.39	160.85	0.57629	1141.2	606.09	0.99106	902.35	286.59	0.88134	1211.1	493.9	0.97113
1221.8	381.73	0.95773	910	199	-2	897.15	161.45	0.57629	1140.7	606.23	0.99106	901.35	285.29	0.88134	1211.2	493.7	0.97113
1221.5	380.63	0.95773	908	199	-2	895.8	161.61	0.57629	1140.7	605.26	0.99106	900.44	283.87	0.88134	1211.5	493.31	0.97113
1220.9	379.85	0.95773	907	199	-2	894.48	163.87	0.57629	1141.6	603.29	0.99106	899.41	282.16	0.88134	1211.5	493.24	0.97113
1220.4	379.36	0.95773	906	199	-2	892.03	164.5	0.57629	1139.5	604.54	0.99106	898.52	281.09	0.88134	1211.4	493.11	0.97113
1219.9	378.91	0.95773	906	199	-2	890.96	166.38	0.57629	1136.3	607.15	0.99106	897.63	279.42	0.88134	1211.2	492.9	0.97113
1219.4	378.93	0.95773	906	198	-2	887.02	167.18	0.57629	1134.8	608.73	0.99106	896.56	277.56	0.88134	1211.1	492.83	0.97113
1218.9	377.49	0.95773	905	198	-2	884.42	167.6	0.57629	1134	607.63	0.99106	895.38	276.05	0.88134	1211.1	492.72	0.97113
1218.6	375.97	0.95773	902.29	198.61	-2	881.54	166.15	0.57629	1134.8	606.36	0.99106	894.27	274.81	0.88134	1210.9	492.62	0.97113
1218.5	374.93	0.95773	899	200	-2	880.23	165.1	0.57629	1134.4	608.83	0.99106	893.08	273.42	0.88134	1211.5	492.42	0.97113
1218.2	374.85	0.95773	893	197	-2	878.88	163.43	0.57629	1134.5	609.37	0.99106	891.88	272.07	0.88134	1212.2	492.36	0.97113
1217.6	372.61	0.95773	887	190	-2	877.38	163.48	0.57629	1135.2	611.59	0.99106	890.9	270.83	0.88134	1212	492.39	0.97113
1217.3	371.53	0.95773	884	185	-2	874.72	163.49	0.57629	1137.2	614.13	0.99106	889.71	269.49	0.88134	1211.4	492.35	0.97113
1216.8	369.67	0.95773	881	182	-2	871.02	162.98	0.57629	1139.4	615.38	0.99106	888.71	268.86	0.88134	1211.2	492.05	0.97113
